youtube_id,start_s,class,source,pann_score,pann_window_offset_s,clip_score,clip_best_frame,vad_voiced_frac,audio_path,full_10s_path
--I2373YpgM,30.0,horse,audioset,0.8571521043777466,5.0,0.2663741111755371,6,0.0,clips/horse/--I2373YpgM_30/audio.wav,clips/horse/--I2373YpgM_30/full_10s.wav
--IVng5n_Mw,15.0,horse,audioset,0.922705352306366,5.0,0.28760427236557007,4,0.0,clips/horse/--IVng5n_Mw_15/audio.wav,clips/horse/--IVng5n_Mw_15/full_10s.wav
--hq8wmLHHQ,30.0,horse,audioset,0.9802191853523254,6.5,0.2386849969625473,6,0.0,clips/horse/--hq8wmLHHQ_30/audio.wav,clips/horse/--hq8wmLHHQ_30/full_10s.wav
-0KzkJ7kR8A,30.0,horse,audioset,0.6801593899726868,5.5,0.2630935609340668,6,0.0,clips/horse/-0KzkJ7kR8A_30/audio.wav,clips/horse/-0KzkJ7kR8A_30/full_10s.wav
-0TTFAArJ9k,30.0,horse,audioset+vggsound,0.8797086477279663,2.0,0.2774834930896759,0,0.0,clips/horse/-0TTFAArJ9k_30/audio.wav,clips/horse/-0TTFAArJ9k_30/full_10s.wav
-0UQF2s0VYI,0.0,horse,vggsound,0.8848154544830322,0.5,0.2927599549293518,6,0.0,clips/horse/-0UQF2s0VYI_0/audio.wav,clips/horse/-0UQF2s0VYI_0/full_10s.wav
-16L6NWo49A,30.0,horse,audioset,0.34119993448257446,6.5,0.2866186499595642,1,0.0,clips/horse/-16L6NWo49A_30/audio.wav,clips/horse/-16L6NWo49A_30/full_10s.wav
-2WBGJ3rWX8,30.0,horse,audioset,0.7435941696166992,0.0,0.3022446036338806,7,0.0,clips/horse/-2WBGJ3rWX8_30/audio.wav,clips/horse/-2WBGJ3rWX8_30/full_10s.wav
-4c4jzE5y_c,18.0,horse,audioset,0.7055616974830627,0.0,0.28260934352874756,1,0.0,clips/horse/-4c4jzE5y_c_18/audio.wav,clips/horse/-4c4jzE5y_c_18/full_10s.wav
-4c4jzE5y_c,5.0,horse,vggsound,0.4014142155647278,2.5,0.2940059006214142,2,0.0,clips/horse/-4c4jzE5y_c_5/audio.wav,clips/horse/-4c4jzE5y_c_5/full_10s.wav
-6yndOAXmw0,30.0,horse,audioset,0.683976948261261,6.5,0.27135878801345825,4,0.0,clips/horse/-6yndOAXmw0_30/audio.wav,clips/horse/-6yndOAXmw0_30/full_10s.wav
-7G6h-Qr0_E,30.0,horse,audioset,0.2781624495983124,6.5,0.286723792552948,6,0.0,clips/horse/-7G6h-Qr0_E_30/audio.wav,clips/horse/-7G6h-Qr0_E_30/full_10s.wav
-7uB0O_imb4,30.0,horse,audioset+vggsound,0.9790233373641968,6.5,0.2839643657207489,7,0.0,clips/horse/-7uB0O_imb4_30/audio.wav,clips/horse/-7uB0O_imb4_30/full_10s.wav
-8xCSEgFroY,30.0,horse,audioset,0.45266449451446533,4.5,0.2873147428035736,2,0.0,clips/horse/-8xCSEgFroY_30/audio.wav,clips/horse/-8xCSEgFroY_30/full_10s.wav
-91lUg0_Gl8,151.0,horse,vggsound,0.2840946316719055,0.0,0.27877277135849,1,0.0,clips/horse/-91lUg0_Gl8_151/audio.wav,clips/horse/-91lUg0_Gl8_151/full_10s.wav
